,Market_Tier,Position_Group,Value (M_EUR),Wage (K_EUR),Overall,Acquisition_Cost_per_Point,Wage_Cost_per_Point
4,Elite (75+),ATT,23.6669921875,92.6875,77.1171875,0.3068964643906392,1.2019045689393173
7,Elite (75+),MDF,18.9461690647482,70.35251798561151,77.38129496402878,0.24484171625139453,0.909166976571216
5,Elite (75+),DEF,13.85092105263158,65.4342105263158,77.18859649122807,0.17944258196488438,0.8477186203761579
6,Elite (75+),GK,11.235060240963856,48.44578313253012,74.44578313253012,0.15091600582618547,0.6507525489561417
8,Mid-High (65-75),ATT,3.211290493892724,12.611789697291556,68.63037705788635,0.04679109501590176,0.1837639575643615
11,Mid-High (65-75),MDF,3.121153948417974,11.29805902685456,68.83355490561021,0.045343494937867684,0.16413592240510191
9,Mid-High (65-75),DEF,2.24478432563791,10.130012150668287,68.57867557715674,0.0327329786809945,0.14771373266418913
10,Mid-High (65-75),GK,1.798539982030548,7.389937106918239,67.00988319856245,0.026839921160601753,0.11028130111823228
0,Development (<65),ATT,0.7985856432125088,3.1563610518834397,62.43283582089552,0.012791115968261556,0.050556105779629566
3,Development (<65),MDF,0.6686513040371561,2.7027509824937477,62.39549839228296,0.010716338858827907,0.04331644192504795
1,Development (<65),DEF,0.44259164535379364,2.2949701619778344,62.29454390451833,0.00710482198942132,0.036840628699287684
2,Development (<65),GK,0.3341254523522316,1.8480096501809409,60.38721351025332,0.005533049679391143,0.030602664749006213
